09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
12 Mar 2019,Dusty Pink,5.0 ,Srishti Barua
22 Aug 2019,Jbl clip 2 was better than clip 3. Dissatisfied!!😔,3.0 ,Saki Sengupta
04 Jan 2019,A great product at the given price point,5.0 ,Nirbhay
27 Jan 2019,Really powerful in compact design,5.0 ,Harshit Patel
27 Mar 2019,Boom boom,4.0 ,Kartikey
06 May 2019,Best speaker for Rs. 2899,5.0 ,MM591
16 Oct 2019,Good speaker portable, read on,5.0 ,Amazon Customer
11 Mar 2019,Enjoy the musics and enjoy life!!!,4.0 ,Yeshi Zoella
11 Jul 2019,Crystal clear sound,4.0 ,Ishkaran Singh
05 Nov 2019,Product got damaged within 1 month.,1.0 ,Gourab Roy
27 Apr 2019,Paachu hi tech@gmail.com,5.0 ,Amazon Customer
30 Oct 2019,Bad sound and bluetooth connectivity,2.0 ,Tanmay Ras
24 Oct 2019,Its wonderful. Go shop blindly for it,5.0 ,Maulik Prajapati
14 Oct 2019,A killer speaker,5.0 ,Swapna Nath
11 Oct 2019,Pros of "JBL Clip 3",5.0 ,shubham jasuja
05 Dec 2019,Best in the price range,5.0 ,Anshoo Malhotra
20 Nov 2019,is it Waterproof???,4.0 ,sheikh Minhaz
03 May 2019,💞💞💞,4.0 ,******ans
21 Oct 2019,The sound quality off this will blow your mind,5.0 ,Siddhesh Kulkarni
07 May 2019,Thumbs Up!! To JBL,5.0 ,Amazon Customer
26 Sep 2019,Clip 3 is cool,4.0 ,rohit
21 Jun 2019,Only for music addicts.,4.0 ,Freethinker
15 May 2019,Flat to low bass and medium loudness,3.0 ,PP
03 Oct 2019,:),5.0 ,Ree
26 Apr 2019,Fantastic speaker,4.0 ,Anmol Chordia
23 Oct 2019,Lacking of bass and loudness,4.0 ,darshan kapadia
04 Mar 2019,Satisfied,5.0 ,Debapriyo Pandit
28 Nov 2019,Best,5.0 ,Ashish Verma
20 Sep 2019,Mini sound blaster,5.0 ,Rathan l
28 Apr 2019,Old clip 2 better in tiny details.,3.0 ,ravi
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
12 Mar 2019,Dusty Pink,5.0 ,Srishti Barua
22 Aug 2019,Jbl clip 2 was better than clip 3. Dissatisfied!!😔,3.0 ,Saki Sengupta
04 Jan 2019,A great product at the given price point,5.0 ,Nirbhay
27 Jan 2019,Really powerful in compact design,5.0 ,Harshit Patel
27 Mar 2019,Boom boom,4.0 ,Kartikey
06 May 2019,Best speaker for Rs. 2899,5.0 ,MM591
16 Oct 2019,Good speaker portable, read on,5.0 ,Amazon Customer
11 Mar 2019,Enjoy the musics and enjoy life!!!,4.0 ,Yeshi Zoella
11 Jul 2019,Crystal clear sound,4.0 ,Ishkaran Singh
05 Nov 2019,Product got damaged within 1 month.,1.0 ,Gourab Roy
27 Apr 2019,Paachu hi tech@gmail.com,5.0 ,Amazon Customer
30 Oct 2019,Bad sound and bluetooth connectivity,2.0 ,Tanmay Ras
24 Oct 2019,Its wonderful. Go shop blindly for it,5.0 ,Maulik Prajapati
14 Oct 2019,A killer speaker,5.0 ,Swapna Nath
11 Oct 2019,Pros of "JBL Clip 3",5.0 ,shubham jasuja
05 Dec 2019,Best in the price range,5.0 ,Anshoo Malhotra
20 Nov 2019,is it Waterproof???,4.0 ,sheikh Minhaz
03 May 2019,💞💞💞,4.0 ,******ans
21 Oct 2019,The sound quality off this will blow your mind,5.0 ,Siddhesh Kulkarni
07 May 2019,Thumbs Up!! To JBL,5.0 ,Amazon Customer
26 Sep 2019,Clip 3 is cool,4.0 ,rohit
21 Jun 2019,Only for music addicts.,4.0 ,Freethinker
15 May 2019,Flat to low bass and medium loudness,3.0 ,PP
03 Oct 2019,:),5.0 ,Ree
26 Apr 2019,Fantastic speaker,4.0 ,Anmol Chordia
23 Oct 2019,Lacking of bass and loudness,4.0 ,darshan kapadia
04 Mar 2019,Satisfied,5.0 ,Debapriyo Pandit
28 Nov 2019,Best,5.0 ,Ashish Verma
20 Sep 2019,Mini sound blaster,5.0 ,Rathan l
28 Apr 2019,Old clip 2 better in tiny details.,3.0 ,ravi
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
12 Mar 2019,Dusty Pink,5.0 ,Srishti Barua
22 Aug 2019,Jbl clip 2 was better than clip 3. Dissatisfied!!😔,3.0 ,Saki Sengupta
04 Jan 2019,A great product at the given price point,5.0 ,Nirbhay
27 Jan 2019,Really powerful in compact design,5.0 ,Harshit Patel
27 Mar 2019,Boom boom,4.0 ,Kartikey
06 May 2019,Best speaker for Rs. 2899,5.0 ,MM591
16 Oct 2019,Good speaker portable, read on,5.0 ,Amazon Customer
11 Mar 2019,Enjoy the musics and enjoy life!!!,4.0 ,Yeshi Zoella
11 Jul 2019,Crystal clear sound,4.0 ,Ishkaran Singh
05 Nov 2019,Product got damaged within 1 month.,1.0 ,Gourab Roy
27 Apr 2019,Paachu hi tech@gmail.com,5.0 ,Amazon Customer
30 Oct 2019,Bad sound and bluetooth connectivity,2.0 ,Tanmay Ras
24 Oct 2019,Its wonderful. Go shop blindly for it,5.0 ,Maulik Prajapati
14 Oct 2019,A killer speaker,5.0 ,Swapna Nath
11 Oct 2019,Pros of "JBL Clip 3",5.0 ,shubham jasuja
05 Dec 2019,Best in the price range,5.0 ,Anshoo Malhotra
20 Nov 2019,is it Waterproof???,4.0 ,sheikh Minhaz
03 May 2019,💞💞💞,4.0 ,******ans
21 Oct 2019,The sound quality off this will blow your mind,5.0 ,Siddhesh Kulkarni
07 May 2019,Thumbs Up!! To JBL,5.0 ,Amazon Customer
26 Sep 2019,Clip 3 is cool,4.0 ,rohit
21 Jun 2019,Only for music addicts.,4.0 ,Freethinker
15 May 2019,Flat to low bass and medium loudness,3.0 ,PP
03 Oct 2019,:),5.0 ,Ree
26 Apr 2019,Fantastic speaker,4.0 ,Anmol Chordia
23 Oct 2019,Lacking of bass and loudness,4.0 ,darshan kapadia
04 Mar 2019,Satisfied,5.0 ,Debapriyo Pandit
28 Nov 2019,Best,5.0 ,Ashish Verma
20 Sep 2019,Mini sound blaster,5.0 ,Rathan l
28 Apr 2019,Old clip 2 better in tiny details.,3.0 ,ravi
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
