,review_posted_date,review_header,review_rating,author,emotion
7,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
9,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
17,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
19,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
27,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
29,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
37,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
39,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
47,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
49,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
57,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
59,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
67,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
69,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
77,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
79,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
87,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
89,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
97,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
99,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
107,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
109,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
117,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
119,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
127,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
129,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
137,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
139,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
147,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
149,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
157,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
159,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
167,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
169,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
177,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
179,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
187,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
189,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
197,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
199,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
207,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
209,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
217,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
219,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
227,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
229,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
237,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
239,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
247,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
249,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
257,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
259,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
267,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
269,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
277,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
279,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
287,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
289,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
297,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
299,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
307,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
309,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
317,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
319,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
327,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
329,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
337,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
339,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
347,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
349,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
357,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
359,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
367,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
369,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
377,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
379,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
387,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
389,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
397,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
399,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
407,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
409,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
417,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
419,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
427,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
429,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
437,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
439,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
447,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
449,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
457,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
459,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
467,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
469,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
477,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
479,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
487,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
489,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
497,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
499,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
507,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
509,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
517,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
519,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
527,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
529,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
537,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
539,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
547,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
549,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
557,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
559,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
567,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
569,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
577,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
579,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
587,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
589,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
597,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
599,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
607,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
609,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
617,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
619,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
627,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
629,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
637,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
639,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
647,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
649,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
657,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
659,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
667,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
669,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
677,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
679,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
687,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
689,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
697,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
699,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
707,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
709,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
717,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
719,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
727,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
729,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
737,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
739,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
747,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
749,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
757,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
759,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
767,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
769,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
777,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
779,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
787,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
789,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
797,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
799,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
807,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
809,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
817,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
819,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
827,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
829,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
837,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
839,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
