,review_posted_date,review_header,review_rating,author,nature
1,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
11,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
21,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
31,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
41,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
51,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
61,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
71,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
81,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
91,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
101,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
111,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
121,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
131,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
141,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
151,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
161,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
171,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
181,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
191,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
201,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
211,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
221,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
231,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
241,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
251,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
261,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
271,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
281,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
291,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
301,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
311,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
321,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
331,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
341,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
351,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
361,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
371,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
381,12 Apr 2019,R-32 is being phased out by 2030. This AC is the future!,5.0,Toshesh,offensive_speech
